gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
3772405059	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/193099639/original.jpeg	https://www.inaturalist.org/photos/193099639					2022-04-11T16:46:18Z	Christoph Moning		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Christoph Moning
3764624333	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/191369628/original.jpeg	https://www.inaturalist.org/photos/191369628					2017-07-08T01:56:57Z	Philip Holdridge		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Philip Holdridge
3764478212	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/191145253/original.jpg	https://www.inaturalist.org/photos/191145253					2022-04-28T00:25:02Z	Mika Tomta		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Mika Tomta
3764465654	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/190052840/original.jpeg	https://www.inaturalist.org/photos/190052840					2022-04-23T11:37:00Z	Bjørnar		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Bjørnar
3764449440	Sound	audio/mp4	https://static.inaturalist.org/sounds/394956.m4a?1650113536	https://www.inaturalist.org/photos/394956					2022-04-16T12:52:16Z	Bjørnar		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Bjørnar
3764449440	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/188538725/original.jpeg	https://www.inaturalist.org/photos/188538725					2022-04-17T02:28:58Z	Bjørnar		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Bjørnar
3764365233	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/191144086/original.jpg	https://www.inaturalist.org/photos/191144086					2022-04-28T00:24:12Z	Mika Tomta		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Mika Tomta
3764337560	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/191374029/original.jpg	https://www.inaturalist.org/photos/191374029					2022-04-21T23:52:36Z	Kārlis Jānis		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Kārlis Jānis
3764154181	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/191142983/original.jpg	https://www.inaturalist.org/photos/191142983					2022-04-28T00:22:08Z	Mika Tomta		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Mika Tomta
3764150160	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/191093486/original.jpeg	https://www.inaturalist.org/photos/191093486					2022-04-27T15:50:31Z	eppyen		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	eppyen
3764149232	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/191143897/original.jpg	https://www.inaturalist.org/photos/191143897					2022-04-28T00:22:37Z	Mika Tomta		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Mika Tomta
3764096283	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/191294696/original.jpeg	https://www.inaturalist.org/photos/191294696					2022-04-19T20:17:00Z	dirkaue		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	dirkaue
3760338763	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/189647840/original.jpg	https://www.inaturalist.org/photos/189647840					2022-04-21T14:26:37Z	Lauritz Grønn		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Lauritz Grønn
3760338763	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/189647785/original.jpg	https://www.inaturalist.org/photos/189647785					2022-04-21T14:26:37Z	Lauritz Grønn		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Lauritz Grønn
